"","X","refYear","refMonth","period","reporterISO","reporterDesc","partnerISO","partnerDesc","primaryValue","Group","Group_0","Group_1","Group_2","Time_Treated","GDP","EXR","REXR","CA","TimeIndex","Time_TreatmentIndex","Time_TreatmentIndex_1","trade","Ltrade","LGDP","LEXR","After1","After2","UCL","GDPX","REXRX","CAX","CV"
"66",67,2014,2,201402,"LUX","Luxembourg","RUS","Russian Federation",15487374.557,"Group_2",0,0,1,202203,5.51876528594949,0.0207501927350234,0.00504675772234847,0.202845845558831,-87,10,-2,0.015487374557,-4.16773013168841,1.70815415518727,-5.28900927706623,0,0,1,-1.80263526018017,-0.215106758875739,0.393549020376008,-0.541397666226634
"67",68,2014,2,201402,"MYS","Malaysia","RUS","Russian Federation",46098216.894,"Group_0",1,0,0,0,25.58420007616,0.0938506190195456,0.0250561296255303,-0.0580169532760693,-87,1000,1000,0.046098216894,-3.07698100881653,3.24197497642375,-3.6866367857544,0,0,0,-0.581978945661588,-0.213380744782216,-0.417973925362769,-0.404444538602191
"68",69,2014,2,201402,"MEX","Mexico","RUS","Russian Federation",22009750,"Group_0",1,0,0,0,101.39501239659,0.376646750714253,0.0776130458599731,-0.365270275790748,-87,1000,1000,0.02200975,-3.8162697419817,4.61902390253699,-2.55601974917077,0,0,0,0.513914032050183,-0.208847170286641,-1.37381401635615,-0.356249051530869
"69",70,2014,2,201402,"NLD","Netherlands","RUS","Russian Federation",676108810.628,"Group_2",0,0,1,202203,71.5130328616647,0.0207501927350234,0.0049993229432363,0.0677313351372578,-87,10,-2,0.676108810628,-0.391401253424785,4.2698797108749,-5.29845278706972,0,0,1,0.236055591006039,-0.215110850613234,-0.0267812298516765,-0.0019454964862906
"70",71,2014,2,201402,"NZL","New Zealand","RUS","Russian Federation",25634160.244,"Group_2",0,0,1,202203,16.4427018138085,0.0342161353226611,0.00160577698640087,0.213804558062014,-87,10,-2,0.025634160244,-3.66382943246521,2.79988172003068,-6.43414753586398,0,0,1,-0.933808779727377,-0.215403578849625,0.427640683471734,-0.240523891701756
"71",72,2014,2,201402,"NOR","Norway","RUS","Russian Federation",92092278.362,"Group_2",0,0,1,202203,43.9366071450768,0.173600403609814,0.0410358930711914,0.74984662250103,-87,10,-2,0.092092278362,-2.38496417895332,3.78274784834197,-3.19330815449183,0,0,1,-0.151617190437017,-0.212002325856733,2.09522393841014,0.577201474038797
"72",73,2014,2,201402,"PHL","Philippines","RUS","Russian Federation",4372774,"Group_0",1,0,0,0,18.9386966285374,1.27171103351322,0.426171644985705,-0.796349085378817,-87,1000,1000,0.004372774,-5.4323576886552,2.9412072695789,-0.852913091362585,0,0,0,-0.821338064719234,-0.178780406701027,-2.71486512431379,-1.23832786524468
"73",74,2014,2,201402,"POL","Poland","RUS","Russian Federation",821748236,"Group_2",0,0,1,202203,41.0537144269601,0.0866372273366287,0.0212589889062885,-0.0101548348294036,-87,10,-2,0.821748236,-0.196321213078384,3.7148813172363,-3.85097546569935,0,0,1,-0.205627221199167,-0.213708287217242,-0.269078768504014,-0.229471425640141
"74",75,2014,2,201402,"PRT","Portugal","RUS","Russian Federation",27513687.944,"Group_2",0,0,1,202203,18.0758548467877,0.0207501927350234,0.00495542054129207,-0.201621958415607,-87,10,-2,0.027513687944,-3.5930716547246,2.89457706135457,-5.30727324269424,0,0,1,-0.858447652311389,-0.215114637646873,-0.864717413948227,-0.646093234635497
"75",76,2014,2,201402,"QAT","Qatar","RUS","Russian Federation",1294082.261,"Group_0",1,0,0,0,18.1207490921131,0.103212439345154,0.0235645394561821,0.130171291779992,-87,1000,1000,0.001294082261,-6.64995351382661,2.89705764038468,-3.74801226235006,0,0,0,-0.856473540071651,-0.213509409773127,0.167464395714057,-0.300839518043574
"76",77,2014,2,201402,"ROU","Romania","RUS","Russian Federation",167843485.2,"Group_2",0,0,1,202203,12.489560519455,0.0932100585007483,0.0227743545174372,-0.146030339978163,-87,10,-2,0.1678434852,-1.78472336953544,2.52489313692555,-3.78212017795291,0,0,1,-1.15265217117202,-0.21357757134998,-0.691776411420331,-0.68600205131411
"77",78,2014,2,201402,"IND","India","RUS","Russian Federation",158142928.021,"Group_0",1,0,0,0,172.836539322198,1.7624569180536,0.486904440396131,-0.390919711607488,-87,1000,1000,0.158142928021,-1.84425604713831,5.15234628842749,-0.7196873961059,0,0,0,0.938346487913282,-0.173541578549666,-1.45360732457605,-0.22960080507081
"78",79,2014,2,201402,"SGP","Singapore","RUS","Russian Federation",43259845.51,"Group_2",0,0,1,202203,25.3486633070197,0.0358912294227019,0.00868337321957217,-0.0425233869919149,-87,10,-2,0.04325984551,-3.14053042966101,3.23272599914082,-4.7463452060366,0,0,1,-0.58933953326539,-0.214793063391878,-0.369774701069107,-0.391302432575458
